first_release_year,name,count
1891,pop,1
1896,pop,2
1897,jazz,3
1897,ragtime,3
1898,jazz,1
1898,ragtime,1
1899,comedy,1
1899,jazz,3
1899,non-music,1
1899,ragtime,3
1901,jazz,1
1901,ragtime,1
1902,comedy,1
1902,folk,2
1902,jazz,1
1902,non-music,1
1902,pop,5
1902,ragtime,1
1903,jazz,1
1903,pop,7
1903,ragtime,2
1904,comedy,2
1904,jazz,5
1904,non-music,2
1904,pop,8
1904,ragtime,4
1905,jazz,1
1905,pop,13
1905,ragtime,1
1905,vaudeville,2
1906,comedy,1
1906,jazz,3
1906,non-music,1
1906,poetry,1
1906,pop,21
1906,ragtime,3
1906,vaudeville,3
1907,comedy,2
1907,folk,1
1907,jazz,3
1907,non-music,3
1907,pop,14
1907,ragtime,3
1907,spoken word,1
1907,vaudeville,2
1908,folk,2
1908,jazz,2
1908,non-music,1
1908,pop,14
1908,ragtime,2
1908,vaudeville,1
1909,classical,2
1909,comedy,3
1909,jazz,1
1909,non-music,3
1909,pop,13
1909,ragtime,1
1910,classical,4
1910,instrumental,2
1910,pop,7
1911,classical,1
1911,pop,2
1912,classical,1
1912,instrumental,1
1912,pop,4
1912,ragtime,2
1913,pop,1
1914,pop,4
1916,pop,3
1917,classical,1
1917,dixieland,1
1917,jazz,2
1917,pop,4
1918,ballad,1
1918,blues,1
1918,chamber music,1
1918,classical,1
1918,dixieland,3
1918,jazz,3
1918,pop,3
1918,ragtime,1
1919,classical,4
1919,comedy,3
1919,dixieland,2
1919,jazz,5
1919,pop,15
1920,big band,1
1920,blues,2
1920,classical,2
1920,jazz,7
1920,pop,17
1921,blues,6
1921,comedy,1
1921,dixieland,2
1921,jazz,17
1921,non-music,1
1921,pop,23
1922,blues,13
1922,classical,2
1922,gospel,1
1922,jazz,12
1922,pop,26
1922,vaudeville blues,2
1923,big band,1
1923,blues,9
1923,classical,2
1923,comedy,1
1923,dixieland,1
1923,easy listening,1
1923,jazz,15
1923,non-music,1
1923,piano blues,2
1923,pop,12
1923,vaudeville,2
1923,vaudeville blues,1
1924,big band,2
1924,blues,16
1924,comedy,4
1924,country,1
1924,death by heart failure,1
1924,jazz,23
1924,musical,1
1924,pop,18
1925,big band,1
1925,blues,15
1925,classical,1
1925,country,2
1925,instrumental,1
1925,jazz,23
1925,piano blues,2
1925,pop,15
1926,big band,2
1926,blues,15
1926,classical,1
1926,country,2
1926,country blues,3
1926,easy listening,2
1926,gospel,4
1926,jazz,33
1926,pop,12
1926,swing,1
1926,texas blues,1
1927,big band,4
1927,blues,21
1927,classical,3
1927,country,9
1927,country blues,8
1927,dixieland,3
1927,gospel,3
1927,jazz,48
1927,non-music,6
1927,pop,18
1927,texas blues,8
1927,victor,1
1928,big band,4
1928,blues,24
1928,cajun,1
1928,country,13
1928,country blues,7
1928,delta blues,1
1928,gospel,1
1928,jazz,43
1928,musical,1
1928,other blues,1
1928,pop,24
1928,swing,1
1928,texas blues,3
1929,blues,34
1929,boogie-woogie,1
1929,country,13
1929,country blues,2
1929,delta blues,1
1929,gospel,2
1929,jazz,32
1929,old timey,1
1929,piano blues,4
1929,pop,12
1929,swing,1
1929,texas blues,7
1930,big band,8
1930,blues,11
1930,cajun,1
1930,country,3
1930,country blues,5
1930,delta blues,3
1930,gospel,1
1930,jazz,39
1930,pop,15
1930,texas blues,1
1931,big band,13
1931,blues,17
1931,country,7
1931,country blues,4
1931,delta blues,2
1931,easy listening,1
1931,jazz,41
1931,pop,17
1931,swing,6
1932,big band,18
1932,blues,6
1932,country,1
1932,country blues,3
1932,delta blues,3
1932,gospel,1
1932,hillbilly,1
1932,jazz,47
1932,piano blues,1
1932,pop,6
1932,swing,11
1933,big band,13
1933,blues,3
1933,classic r&b/soul,1
1933,country,4
1933,country and western,2
1933,country blues,2
1933,jazz,28
1933,pop,12
1933,swing,5
1934,big band,32
1934,blues,4
1934,celtic,1
1934,country,2
1934,country blues,4
1934,electric blues,1
1934,jazz,62
1934,latin,1
1934,musical,3
1934,pop,21
1934,swing,12
1934,tejano,1
1935,big band,18
1935,blues,7
1935,classical,1
1935,country,8
1935,country blues,3
1935,easy listening,1
1935,hillbilly,2
1935,jazz,40
1935,piano blues,2
1935,polka,1
1935,pop,21
1935,schlager,1
1935,swing,15
1935,western,1
1935,western swing,2
1936,big band,26
1936,blues,12
1936,chicago blues,1
1936,country,9
1936,country blues,5
1936,delta blues,3
1936,dixieland,3
1936,folk,2
1936,jazz,91
1936,musical,2
1936,pop,18
1936,swing,30
1936,western swing,6
1937,big band,34
1937,blues,18
1937,boogie-woogie,1
1937,comedy,1
1937,country,13
1937,country blues,2
1937,delta blues,6
1937,hillbilly,1
1937,indie rock,1
1937,jazz,101
1937,latin,1
1937,piano blues,1
1937,pop,36
1937,rock,1
1937,swing,24
1937,texas blues,1
1937,western swing,4
1938,1–9 wochen,1
1938,big band,49
1938,blues,13
1938,boogie-woogie,1
1938,country,11
1938,english,1
1938,first commercially issued film soundtrack,1
1938,gospel,1
1938,gypsy jazz,1
1938,instrumental,2
1938,jazz,120
1938,musical,1
1938,non-music,1
1938,offizielle charts,1
1938,ost,1
1938,pop,31
1938,soundtrack,1
1938,swing,37
1938,western swing,2
1939,big band,80
1939,blues,18
1939,boogie-woogie,7
1939,comedy,1
1939,country,12
1939,country blues,2
1939,dance,2
1939,dixieland,6
1939,folk,1
1939,gospel,1
1939,honky tonk,3
1939,indie rock,1
1939,jazz,162
1939,jump blues,1
1939,musical,1
1939,piano blues,6
1939,pop,46
1939,ragtime,1
1939,rock,1
1939,swing,49
1939,western swing,6
1940,1940,1
1940,ballad,2
1940,big band,76
1940,blues,15
1940,boogie-woogie,2
1940,classical,2
1940,country,7
1940,country and western,1
1940,cowboy,1
1940,delta blues,2
1940,dixieland,2
1940,dust bowl ballads,1
1940,folk,3
1940,hillbilly,2
1940,jazz,142
1940,latin,1
1940,non-music,3
1940,opera,3
1940,pop,76
1940,ragtime,2
1940,stride,1
1940,swing,44
1940,vaudeville blues,1
1940,victor,1
1940,western swing,8
1941,1940s,1
1941,ballad,1
1941,big band,92
1941,blues,21
1941,boogie-woogie,4
1941,chicago blues,1
1941,classic country,1
1941,classical,7
1941,country,8
1941,country blues,3
1941,delta blues,1
1941,easy listening,4
1941,folk,1
1941,honky tonk,1
1941,jazz,148
1941,jump blues,2
1941,musical,1
1941,piano blues,1
1941,pop,67
1941,ragtime,1
1941,swing,36
1941,traditional pop,1
1941,western swing,2
1942,ballad,1
1942,big band,59
1942,bluegrass,2
1942,blues,10
1942,chicago blues,1
1942,comedy,1
1942,cool jazz,1
1942,country,10
1942,easy listening,3
1942,gospel,1
1942,hillbilly,1
1942,instrumental,1
1942,jazz,83
1942,miscellaneous,2
1942,pop,57
1942,swing,22
1942,texas blues,1
1942,western swing,7
1943,ballad,3
1943,big band,43
1943,blues,16
1943,boogie-woogie,2
1943,classical,5
1943,country,5
1943,easy listening,1
1943,gospel,1
1943,jazz,84
1943,latin,2
1943,musical,3
1943,opera,1
1943,pop,63
1943,swing,27
1944,ballad,4
1944,big band,264
1944,blues,23
1944,boogie-woogie,5
1944,classical,37
1944,country,13
1944,country blues,1
1944,dixieland,1
1944,doo-wop,2
1944,easy listening,5
1944,folk,1
1944,gospel,3
1944,jazz,332
1944,jump blues,1
1944,musical,2
1944,opera,9
1944,polka,5
1944,pop,217
1944,ragtime,1
1944,swing,160
1945,ballad,6
1945,barbershop,2
1945,big band,205
1945,blues,31
1945,bolero,1
1945,boogie-woogie,2
1945,chicago blues,2
1945,christmas,1
1945,christmas music,1
1945,classical,43
1945,comedy,2
1945,cool jazz,1
1945,country,10
1945,discogs/the most popular album released every year from 1950 to 2020,1
1945,dixieland,8
1945,easy listening,8
1945,folk,6
1945,gospel,1
1945,holiday,1
1945,jazz,378
1945,jazz/swing,3
1945,jump blues,3
1945,latin,3
1945,latin jazz,3
1945,musical,6
1945,opera,1
