name1,name2
Rihanna,2Pac
Rihanna,Fabolous
Rihanna,Jay‐Z
Rihanna,"West, Kanye"
Rihanna,"Killers, The"
Rihanna,Jay‐Z
Rihanna,Jay‐Z
Rihanna,"West, Kanye"
Rihanna,Maroon 5
Rihanna,Eminem
Rihanna,T.I.
Rihanna,Maroon 5
Rihanna,Eminem
Rihanna,"Brown, Chris"
Rihanna,"Spears, Britney"
Rihanna,"West, Kanye"
Rihanna,will.i.am
Rihanna,Jay‐Z
Rihanna,"West, Kanye"
Rihanna,"Timberlake, Justin"
Rihanna,T.I.
Rihanna,Fabolous
Rihanna,"Brown, Chris"
Rihanna,Jay‐Z
Rihanna,"Keys, Alicia"
Rihanna,Eminem
Rihanna,Black Eyed Peas
Rihanna,Usher
Rihanna,will.i.am
Rihanna,"West, Kanye"
Rihanna,Busta Rhymes
Rihanna,"Pussycat Dolls, The"
Rihanna,T.I.
Rihanna,Jay‐Z
Rihanna,"West, Kanye"
Rihanna,T.I.
Rihanna,Jay‐Z
Rihanna,"West, Kanye"
Rihanna,"West, Kanye"
Rihanna,Timbaland
Rihanna,"Brown, Chris"
Rihanna,"West, Kanye"
Rihanna,"West, Kanye"
Rihanna,"Brown, Chris"
Rihanna,Jay‐Z
Rihanna,T.I.
Rihanna,Maroon 5
Rihanna,"West, Kanye"
Rihanna,Maroon 5
Rihanna,T.I.
Rihanna,Fabolous
Rihanna,"Brown, Chris"
Rihanna,T.I.
Rihanna,Mario
Rihanna,"Brown, Chris"
Rihanna,"Brown, Chris"
Rihanna,"Keys, Alicia"
Rihanna,"Blige, Mary J."
Rihanna,N.E.R.D
Rihanna,Jay‐Z
Rihanna,50 Cent
Rihanna,Fabolous
Rihanna,Trey Songz
Rihanna,Eminem
Rihanna,N.E.R.D
Rihanna,Maroon 5
Rihanna,N.E.R.D
Rihanna,N.E.R.D
Rihanna,Busta Rhymes
Rihanna,"West, Kanye"
Rihanna,"Legend, John"
Rihanna,"Keys, Alicia"
Rihanna,N.E.R.D
Rihanna,"Brown, Chris"
Rihanna,"West, Kanye"
Rihanna,"Lopez, Jennifer"
Rihanna,Pitbull
Rihanna,will.i.am
Rihanna,"Spears, Britney"
Rihanna,Usher
Rihanna,Pitbull
Rihanna,"Lopez, Jennifer"
Rihanna,Pitbull
Rihanna,will.i.am
Rihanna,"Spears, Britney"
Rihanna,Usher
Rihanna,Pitbull
Rihanna,Eminem
Rihanna,Jay‐Z
Rihanna,"West, Kanye"
Rihanna,"Lopez, Jennifer"
Rihanna,Pitbull
Rihanna,Black Eyed Peas
Rihanna,"Lopez, Jennifer"
Rihanna,Pitbull
Rihanna,Black Eyed Peas
Rihanna,Maroon 5
Rihanna,Eminem
Rihanna,"West, Kanye"
Rihanna,Jay‐Z
Rihanna,Eminem
Rihanna,Jay‐Z
Rihanna,"Brown, Chris"
Rihanna,N.E.R.D
Rihanna,"Earth, Wind & Fire"
Rihanna,Eminem
Rihanna,Jay‐Z
Rihanna,"West, Kanye"
Rihanna,Jay‐Z
Rihanna,Jay‐Z
Rihanna,Jay‐Z
Rihanna,Jay‐Z
Rihanna,Jay‐Z
Rihanna,Jay‐Z
Rihanna,"Brown, Chris"
Rihanna,Jay‐Z
Rihanna,Jay‐Z
Rihanna,Jay‐Z
Rihanna,Jay‐Z
Rihanna,Jay‐Z
Rihanna,"West, Kanye"
Rihanna,Jay‐Z
Rihanna,"Brown, Chris"
Rihanna,Jay‐Z
Rihanna,Jay‐Z
Rihanna,Jay‐Z
Rihanna,Jay‐Z
Rihanna,Jay‐Z
Rihanna,"West, Kanye"
Rihanna,Jay‐Z
Rihanna,Jay‐Z
Rihanna,"Blige, Mary J."
Rihanna,"Crow, Sheryl"
Rihanna,"Underwood, Carrie"
Rihanna,Ciara
Rihanna,"Carey, Mariah"
Rihanna,N.E.R.D
Rihanna,Jay‐Z
Rihanna,"West, Kanye"
Rihanna,Kelis
Rihanna,Jay‐Z
Rihanna,Jay‐Z
Rihanna,Jay‐Z
Rihanna,"Gaye, Marvin"
Rihanna,Jay‐Z
Rihanna,Jay‐Z
Rihanna,Jay‐Z
Rihanna,"West, Kanye"
"Osbourne, Ozzy",Metallica
"Osbourne, Ozzy",Metallica
"Osbourne, Ozzy",Madonna
"Osbourne, Ozzy","Wonder, Stevie"
"Osbourne, Ozzy",Metallica
Fugees,Busta Rhymes
Fugees,Cypress Hill
Fugees,Busta Rhymes
Fugees,Busta Rhymes
Fugees,"Jackson, Michael"
Fugees,Busta Rhymes
Fugees,Busta Rhymes
Fugees,Cypress Hill
Fugees,Busta Rhymes
Lady Gaga,Beyoncé
Lady Gaga,Beyoncé
Lady Gaga,Flo Rida
Lady Gaga,Flo Rida
Lady Gaga,Wale
Lady Gaga,Beyoncé
Lady Gaga,"Timberlake, Justin"
Lady Gaga,"Manson, Marilyn"
Lady Gaga,Wale
Lady Gaga,Beyoncé
Lady Gaga,Rihanna
Lady Gaga,"Pussycat Dolls, The"
Lady Gaga,Beyoncé
Lady Gaga,Flo Rida
Lady Gaga,"Kelly, R."
Lady Gaga,T.I.
Lady Gaga,"Kelly, R."
Lady Gaga,"Ross, Rick"
Lady Gaga,"Aguilera, Christina"
Lady Gaga,T.I.
Lady Gaga,Beyoncé
Lady Gaga,"Kelly, R."
Lady Gaga,"Perry, Katy"
Lady Gaga,"Swift, Taylor"
Lady Gaga,Flo Rida
Lady Gaga,Beyoncé
Lady Gaga,T.I.
Lady Gaga,"Kelly, R."
Lady Gaga,Beyoncé
Lady Gaga,T.I.
Lady Gaga,"Kelly, R."
Lady Gaga,"Kelly, R."
Lady Gaga,Wale
Lady Gaga,"Timberlake, Justin"
Lady Gaga,Usher
Lady Gaga,Madonna
Lady Gaga,Rihanna
Lady Gaga,"Lopez, Jennifer"
Lady Gaga,Pitbull
Lady Gaga,will.i.am
Lady Gaga,"Spears, Britney"
Lady Gaga,Usher
Lady Gaga,Pitbull
Lady Gaga,Rihanna
Lady Gaga,Madonna
Lady Gaga,Madonna
Lady Gaga,Madonna
Lady Gaga,Madonna
Lady Gaga,Madonna
Lady Gaga,Madonna
Lady Gaga,Madonna
Lady Gaga,Madonna
Lady Gaga,Madonna
Lady Gaga,Madonna
Lady Gaga,Madonna
Lady Gaga,Madonna
Lady Gaga,Madonna
Lady Gaga,Madonna
Lady Gaga,Madonna
Lady Gaga,Madonna
Lady Gaga,"Spears, Britney"
Lady Gaga,"Jackson, Michael"
Lady Gaga,Madonna
Lady Gaga,Black Eyed Peas
Lady Gaga,Beyoncé
Lady Gaga,"Perry, Katy"
Lady Gaga,"Lopez, Jennifer"
Lady Gaga,Pitbull
Lady Gaga,"Spears, Britney"
Lady Gaga,"West, Kanye"
Lady Gaga,Black Eyed Peas
Lady Gaga,Usher
Lady Gaga,Pitbull
Lady Gaga,Snoop Dogg
Lady Gaga,Flo Rida
Lady Gaga,"Clarkson, Kelly"
Lady Gaga,"Legend, John"
Lady Gaga,"Killers, The"
Lady Gaga,"Lovato, Demi"
Lady Gaga,Flo Rida
Lady Gaga,Wale
Lady Gaga,Flo Rida
Lady Gaga,"Aguilera, Christina"
Lady Gaga,"Kelly, R."
Lady Gaga,"Aguilera, Christina"
Lady Gaga,"Ross, Rick"
Lady Gaga,Beyoncé
Lady Gaga,"Spears, Britney"
Lady Gaga,Madonna
Lady Gaga,Flo Rida
Lady Gaga,"Perry, Katy"
Lady Gaga,"Jackson, Michael"
Lady Gaga,Madonna
Lady Gaga,Pitbull
Lady Gaga,"Timberlake, Justin"
Lady Gaga,"Kelly, R."
Lady Gaga,"Aguilera, Christina"
Lady Gaga,"Ross, Rick"
Lady Gaga,"Aguilera, Christina"
Lady Gaga,"Kelly, R."
Lady Gaga,Wale
Lady Gaga,Flo Rida
Lady Gaga,Beyoncé
Lady Gaga,Beyoncé
Lady Gaga,Flo Rida
Lady Gaga,"Zimmer, Hans"
Lady Gaga,"Zimmer, Hans"
Lady Gaga,"Perry, Katy"
Lady Gaga,"Swift, Taylor"
Lady Gaga,Beyoncé
Lady Gaga,Wale
Lady Gaga,Madonna
Lady Gaga,"Hilson, Keri"
Lady Gaga,"Wonder, Stevie"
Lady Gaga,"West, Kanye"
Lady Gaga,T.I.
Lady Gaga,Beyoncé
"Shadow, DJ",Beck
"Shadow, DJ",Beastie Boys
"Shadow, DJ",Mos Def
"Shadow, DJ",Mos Def
"Shadow, DJ",Mos Def
"Shadow, DJ","Waits, Tom"
"Shadow, DJ",Nas
"Shadow, DJ",Nas
"Shadow, DJ",Nas
"Shadow, DJ","Roots, The"
"Shadow, DJ",Mos Def
"Shadow, DJ",Mos Def
"Shadow, DJ",Beck
"Shadow, DJ",Mos Def
"Shadow, DJ",Mos Def
"Shadow, DJ",Mos Def
Tyga,"Brown, Chris"
Tyga,Snoop Dogg
Tyga,"Game, The"
Tyga,"Williams, Pharrell"
Tyga,"Brown, Chris"
Tyga,Busta Rhymes
Tyga,Ciara
Tyga,"Brown, Chris"
Tyga,"Game, The"
Tyga,Mario
Tyga,"Williams, Pharrell"
Tyga,Flo Rida
Tyga,"Williams, Pharrell"
Tyga,Big Sean
Tyga,Busta Rhymes
Tyga,"Thicke, Robin"
Tyga,Wale
Tyga,Nas
Tyga,Flo Rida
Tyga,Flo Rida
Tyga,"Khaled, DJ"
Tyga,Wale
Tyga,Big Sean
Tyga,"Game, The"
Tyga,"Game, The"
Tyga,"Brown, Chris"
Tyga,Wiz Khalifa
Tyga,Birdman
Tyga,"Khaled, DJ"
Tyga,Wale
Tyga,Snoop Dogg
Tyga,Gucci Mane
Tyga,"Game, The"
Tyga,"Game, The"
Tyga,"Game, The"
Tyga,"Brown, Chris"
Tyga,Wiz Khalifa
Tyga,"Brown, Chris"
Tyga,"Game, The"
Tyga,"Williams, Pharrell"
Tyga,Snoop Dogg
Tyga,Wiz Khalifa
Tyga,"Game, The"
Tyga,Fall Out Boy
